,root,velocity,relativeTime,duration,forte-cardinality,forte-class,forte,bpm,quality
0,0,74.0,0,1750,2,1,2-1,119.19993006937436,other
1,9,53.75,50,6490,2,5,2-5,119.19993006937436,other
2,9,45.0,3720,2960,3,11,3-11A,119.19993006937436,minor
3,9,55.5,2810,200,1,1,1-1,119.19993006937436,other
4,6,50.6,840,4570,5,26,5-26A,119.19993006937436,diminished
5,9,64.8,1180,680,5,13,5-13A,119.19993006937436,minor
6,9,75.4,840,840,5,13,5-13A,119.19993006937436,minor
7,9,65.8,1170,2620,5,13,5-13A,119.19993006937436,minor
8,0,66.2,4580,2480,5,23,5-23A,119.19993006937436,minor
9,9,52.5,60,1860,2,3,2-3,119.19993006937436,minor
10,2,56.666666666666664,2980,2930,3,2,3-2A,119.19993006937436,minor
11,9,50.333333333333336,50,2900,2,2,2-2,119.19993006937436,other
12,0,49.5,4030,540,2,5,2-5,119.19993006937436,other
13,4,39.5,60,3710,1,1,1-1,119.19993006937436,other
14,4,41.6,3960,2250,5,31,5-31B,119.19993006937436,major
15,4,33.0,50,2140,2,4,2-4,119.19993006937436,major
16,9,33.75,3950,2070,3,2,3-2B,119.19993006937436,minor
17,0,36.5,1420,160,2,5,2-5,119.19993006937436,other
18,9,49.75,660,1900,4,26,4-26,119.19993006937436,minor
19,0,35.0,720,210,2,5,2-5,119.19993006937436,other
20,0,42.5,1310,1430,2,5,2-5,119.19993006937436,other
21,5,48.333333333333336,60,3800,2,4,2-4,119.19993006937436,major
22,5,42.333333333333336,2000,2780,3,11,3-11B,119.19993006937436,major
23,9,71.0,3090,2590,5,27,5-27B,119.19993006937436,minor
24,9,64.8,2830,1510,4,26,4-26,119.19993006937436,minor
25,0,77.0,2030,1120,3,11,3-11B,119.19993006937436,major
26,5,59.5,1960,490,2,1,2-1,119.19993006937436,other
27,9,67.0,50,580,1,1,1-1,119.19993006937436,other
28,9,73.75,1950,970,3,11,3-11A,119.19993006937436,minor
29,3,57.5,3340,1140,4,19,4-19B,119.19993006937436,augmented
30,2,68.66666666666667,4050,2290,5,17,5-17,119.19993006937436,minor
31,8,69.5,3910,1390,2,2,2-2,119.19993006937436,other
32,2,78.5,50,1290,2,3,2-3,119.19993006937436,minor
33,2,61.0,50,1190,2,5,2-5,119.19993006937436,other
34,7,60.5,50,1120,2,3,2-3,119.19993006937436,minor
35,4,45.0,2680,1070,2,2,2-2,119.19993006937436,other
36,11,59.5,60,970,2,2,2-2,119.19993006937436,other
37,0,51.0,50,990,2,5,2-5,119.19993006937436,other
38,9,43.333333333333336,1990,1690,3,11,3-11A,119.19993006937436,minor
39,2,74.5,1990,2820,3,11,3-11A,119.19993006937436,minor
40,5,60.5,1240,220,2,4,2-4,119.19993006937436,major
41,5,79.75,720,1490,3,11,3-11B,119.19993006937436,major
42,6,82.0,1880,3130,5,29,5-29B,119.19993006937436,diminished
43,11,56.333333333333336,1980,1240,3,5,3-5B,119.19993006937436,other
44,7,48.0,1910,1740,2,4,2-4,119.19993006937436,major
45,9,35.666666666666664,80,1860,3,11,3-11A,119.19993006937436,minor
46,9,54.0,5120,1590,2,6,2-6,119.19993006937436,other
47,4,50.333333333333336,3990,1890,3,5,3-5B,119.19993006937436,other
48,2,51.5,50,1670,2,5,2-5,119.19993006937436,other
49,0,56.75,3730,1480,4,4,4-4A,119.19993006937436,major
50,7,48.0,50,670,2,4,2-4,119.19993006937436,major
51,9,55.5,720,870,2,3,2-3,119.19993006937436,minor
52,0,53.0,1130,310,2,1,2-1,119.19993006937436,other
53,8,64.4,1520,120,4,27,4-27B,119.19993006937436,other
54,4,68.5,1140,1490,5,28,5-28A,119.19993006937436,other
55,4,85.25,1260,640,3,5,3-5B,119.19993006937436,other
56,9,75.25,770,2650,3,11,3-11A,119.19993006937436,minor
57,0,82.66666666666667,1200,2220,3,4,3-4A,119.19993006937436,major
58,9,78.5,50,2510,2,2,2-2,119.19993006937436,other
59,5,80.83333333333333,3840,2770,4,17,4-17,119.19993006937436,major
60,6,82.8,3730,2840,4,23,4-23,119.19993006937436,minor
61,0,89.4,3930,1090,3,11,3-11B,119.19993006937436,major
62,10,86.0,1940,710,2,4,2-4,119.19993006937436,other
63,9,60.666666666666664,2850,1030,2,5,2-5,119.19993006937436,other
64,11,59.0,1920,250,2,3,2-3,119.19993006937436,minor
65,7,54.5,50,2270,2,2,2-2,119.19993006937436,other
